                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.3103,                 3.1192,                 1.0136,                 1.5371,                0.71791,                 0.7257,                0.70828,                0.50504,                0.70854,                0.71623,                0.69331,                0.43522,                      0,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.2726,                 3.0807,                0.99353,                 1.5095,                0.75554,                0.70275,                0.73459,                0.52955,                0.73116,                0.71185,                0.71747,                0.44932,                      0,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.2993,                 3.1113,                 1.0103,                 1.5217,                0.76007,                0.71874,                0.74227,                0.54726,                0.75642,                0.71721,                0.72976,                0.46558,                      0,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.2763,                 3.0878,                0.97812,                 1.5027,                 0.7511,                0.74806,                0.74694,                0.54115,                0.75064,                0.74026,                0.73981,                0.47307,                      0,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.2779,                 3.0313,                0.98838,                 1.5062,                 0.7757,                0.68997,                0.72677,                0.54226,                0.79083,                0.67381,                0.71016,                0.45787,                      0,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.2658,                 3.0489,                0.96832,                 1.4968,                 0.7625,                0.69448,                0.73616,                0.54439,                 0.7649,                0.68931,                0.72388,                 0.4626,                      0,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.2524,                  3.049,                0.95381,                 1.4899,                0.77522,                0.73613,                0.75437,                0.54898,                0.74603,                0.70591,                0.70292,                0.45782,                      0,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.2576,                 3.0529,                0.96126,                  1.491,                0.70478,                0.71637,                 0.7307,                 0.5443,                0.71966,                0.72685,                0.73881,                0.46698,                      0,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.2706,                 3.0316,                0.95946,                 1.4944,                0.81376,                0.71258,                0.76923,                0.55807,                 0.7856,                0.69163,                0.74324,                0.46994,                      0,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.2381,                 3.0221,                0.94135,                  1.473,                0.81061,                0.71608,                0.76594,                0.54365,                0.79815,                0.70369,                0.74502,                0.45912,                      0,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.2177,                 2.9839,                0.93425,                 1.4704,                0.79972,                0.74064,                 0.7574,                 0.5561,                0.76202,                0.72123,                0.71179,                0.47261,                      0,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.2122,                 2.9825,                0.93913,                 1.4496,                0.79733,                0.66538,                0.73564,                0.54367,                0.77939,                0.65017,                0.70092,                0.45663,                      0,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.2415,                 2.9819,                0.94342,                  1.476,                0.81246,                0.74246,                0.79196,                  0.579,                 0.7954,                0.73092,                0.77668,                 0.4815,                      0,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                  1.211,                 2.9496,                0.92458,                 1.4574,                0.81033,                0.72246,                0.77076,                0.55663,                0.79513,                0.71275,                0.73651,                0.45393,                      0,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.2004,                 2.9385,                0.90648,                 1.4441,                 0.7871,                0.71538,                0.74462,                0.55309,                0.77166,                0.70441,                0.72434,                0.47032,                      0,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
